Country,Human Development Index (1990),Human Development Index (1991),Human Development Index (1992),Human Development Index (1993),Human Development Index (1994),Human Development Index (1995),Human Development Index (1996),Human Development Index (1997),Human Development Index (1998),Human Development Index (1999),Human Development Index (2000),Human Development Index (2001),Human Development Index (2002),Human Development Index (2003),Human Development Index (2004),Human Development Index (2005),Human Development Index (2006),Human Development Index (2007),Human Development Index (2008),Human Development Index (2009),Human Development Index (2010),Human Development Index (2011),Human Development Index (2012),Human Development Index (2013),Human Development Index (2014),Human Development Index (2015),Human Development Index (2016),Human Development Index (2017),Human Development Index (2018),Human Development Index (2019),Human Development Index (2020),Human Development Index (2021)
Brazil,0.61,0.616,0.622,0.63,0.638,0.646,0.653,0.66,0.666,0.671,0.679,0.686,0.692,0.688,0.692,0.698,0.7,0.704,0.715,0.717,0.723,0.728,0.732,0.75,0.754,0.753,0.755,0.759,0.764,0.766,0.758,0.754
Germany,0.829,0.835,0.842,0.852,0.858,0.863,0.868,0.874,0.879,0.884,0.889,0.896,0.901,0.905,0.914,0.914,0.917,0.921,0.923,0.923,0.926,0.931,0.933,0.934,0.937,0.938,0.941,0.944,0.945,0.948,0.944,0.942
India,0.434,0.437,0.442,0.446,0.452,0.458,0.466,0.471,0.478,0.486,0.491,0.496,0.503,0.516,0.525,0.534,0.543,0.553,0.56,0.565,0.575,0.588,0.598,0.607,0.619,0.629,0.639,0.644,0.645,0.645,0.642,0.633
Mozambique,0.238,0.24,0.234,0.239,0.242,0.247,0.259,0.272,0.283,0.296,0.303,0.316,0.324,0.337,0.347,0.357,0.364,0.377,0.387,0.395,0.402,0.407,0.413,0.427,0.433,0.44,0.443,0.445,0.451,0.456,0.453,0.446
Norway,0.838,0.845,0.851,0.858,0.873,0.871,0.879,0.885,0.895,0.901,0.913,0.911,0.912,0.919,0.927,0.931,0.937,0.938,0.94,0.936,0.941,0.944,0.946,0.949,0.952,0.953,0.955,0.959,0.962,0.961,0.959,0.961
Chad,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.291,0.301,0.307,0.307,0.325,0.327,0.327,0.337,0.341,0.355,0.362,0.372,0.381,0.386,0.393,0.389,0.391,0.393,0.398,0.403,0.397,0.394
